OBJECT,FULLOBJECT,THEME,TITLE,ABSTRACT,METADATA URL
acs_b05006_birthplaceforeignborn,acs_b05006_birthplaceforeignborn,census,2013-2017 ACS: Place Of Birth For The Foreign-Born Population In The United States (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: FOREIGN BIRTH subject area. Provides ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b05006_birthplaceforeignborn
acs_b05008_sexbirthplaceyrentry,acs_b05008_sexbirthplaceyrentry,census,2013-2017 ACS: Sex By Place Of Birth By Year Of Entry For The Foreign-Born Population (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: FOREIGN BIRTH subject area. Provides ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b05008_sexbirthplaceyrentry
acs_b06001_agebirthplaceus,acs_b06001_agebirthplaceus,census,2013-2017 ACS: Place Of Birth By Age In The United States (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: PLACE OF BIRTH - NATIVE subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b06001_agebirthplaceus
acs_b07003_sexgeographicmobility,acs_b07003_sexgeographicmobility,census,2013-2017 ACS: Geographical Mobility In The Past Year By Sex For Current Residence In The United States (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: RESIDENCE LAST YEAR - MIGRATION subj ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b07003_sexgeographicmobility
acs_b07204_geographicmobility,acs_b07204_geographicmobility,census,2013-2017 ACS: Geographical Mobility In The Past Year For Current Residence--State; County And Place Level In The United States (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: RESIDENCE LAST YEAR - MIGRATION subj ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b07204_geographicmobility
acs_b08006_sextransportwork,acs_b08006_sextransportwork,census,2013-2017 ACS: Sex Of Workers By Means Of Transportation To Work (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: JOURNEY TO WORK subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08006_sextransportwork
acs_b08007_sexplaceworkplstateco,acs_b08007_sexplaceworkplstateco,census,2013-2017 ACS: Sex Of Workers By Place Of Work--State And County Level (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: JOURNEY TO WORK subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08007_sexplaceworkplstateco
acs_b08008_sexplaceworkplplace,acs_b08008_sexplaceworkplplace,census,2013-2017 ACS: Sex Of Workers By Place Of Work--Place Level (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: JOURNEY TO WORK subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08008_sexplaceworkplplace
acs_b08101_agetransportwork,acs_b08101_agetransportwork,census,2013-2017 ACS: Means Of Transportation To Work By Age (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: JOURNEY TO WORK subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08101_agetransportwork
acs_b08201_householdvehicles,acs_b08201_householdvehicles,census,2013-2017 ACS: Household Size By Vehicles Available (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: JOURNEY TO WORK subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08201_householdvehicles
acs_b08202_householdworkers,acs_b08202_householdworkers,census,2013-2017 ACS: Household Size By Number Of Workers In Household (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: JOURNEY TO WORK subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08202_householdworkers
