excise_tax_nbr,major,minor,sale_date,sale_month,sale_year,sale_price,year_built,year_renovated,lon,lat
2943135,807845,660,2018-07-19,7,2018,820000,1990,0,-122.0275989,47.63234509999999
2961748,721290,20,2018-10-30,10,2018,299000,1944,0,-122.281837,47.46661410000001
2946395,344800,192,2018-08-06,8,2018,620000,1987,0,-122.3015127,47.7185438
2931619,42540,235,2018-05-16,5,2018,405000,1958,0,-122.1746066,47.5005008
2959806,80830,380,2018-08-31,8,2018,600000,2001,0,-121.9575465,47.7238774
2929746,326070,130,2018-05-09,5,2018,350000,1970,0,-122.3249976,47.3095242
2930193,381440,25,2018-05-08,5,2018,915000,1907,2018,-122.2946784,47.6102758
2951234,632900,335,2018-08-23,8,2018,550000,1947,0,-122.3768614,47.4999852
2955355,264800,855,2018-09-21,9,2018,375000,1936,0,-122.217311,47.3085015
2939563,132204,9135,2018-06-20,6,2018,370000,1958,0,-122.236343,47.3895113
2943393,808190,26,2018-07-19,7,2018,750000,1919,0,-122.3989738,47.6796434
2953769,771400,160,2018-09-12,9,2018,578000,2004,0,-122.026958,47.3559856
2955073,423940,770,2018-09-22,9,2018,250000,1969,0,-122.1814733,47.3155819
2950432,797720,985,2018-08-28,8,2018,1050000,1943,1992,-122.2929268,47.68513129999999
2963876,42500,230,2018-11-26,11,2018,389000,1957,0,-122.1705365,47.4979786
2924271,115090,20,2018-04-08,4,2018,1200000,2003,0,-122.0169716,47.5590018
2930737,82505,9249,2018-05-08,5,2018,1704600,1986,2018,-122.1884242,47.6623869
2924320,739930,850,2018-04-04,4,2018,462000,1968,0,-122.1871998,47.4618744
2930577,22503,9165,2018-05-10,5,2018,880000,1952,0,-122.3960115,47.6836351
2940993,927920,340,2018-07-08,7,2018,887500,1951,0,-122.3943649,47.5848288
2938621,162404,9172,2018-06-21,6,2018,470000,1953,0,-122.3031749,47.5721465
2962439,410000,100,2018-11-08,11,2018,1100000,1961,0,-122.1726803,47.5867296
2959560,710710,20,2018-10-26,10,2018,350000,1943,0,-122.2908497,47.5549267
2946205,403770,70,2018-08-03,8,2018,726000,1959,0,-122.1262728,47.60988769999999
2950609,788800,180,2018-08-28,8,2018,348500,1959,0,-122.3096399,47.3689603
2948031,32110,200,2018-08-02,8,2018,1388000,1977,0,-122.2221332,47.5298891
2922749,160460,395,2018-03-29,3,2018,475000,1916,0,-122.2897018,47.5612071
2955650,388580,8295,2018-09-24,9,2018,1760000,2001,0,-122.2068414,47.67939819999999
2955650,388580,8295,2018-09-24,9,2018,1760000,1900,0,-122.2068414,47.67939819999999
2931987,433880,645,2018-05-15,5,2018,585000,1944,0,-122.3458187,47.478258
2924586,297680,850,2018-04-04,4,2018,540000,1954,0,-122.2567167,47.5042246
2942337,560600,345,2018-07-16,7,2018,1075000,1949,0,-122.2717734,47.665946
2957321,951030,220,2018-10-03,10,2018,893000,1994,0,-121.7230372,47.4745447
2923943,147162,190,2018-04-03,4,2018,600000,1984,2018,-121.7471587,47.47179
